:START_ID(Device),:END_ID(Firmware),:TYPE
DEV-HP-0001,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0002,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0003,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-LENOVO-0004,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0005,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0006,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0007,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0008,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0009,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0010,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0011,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0012,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0013,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0014,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0015,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0016,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-LENOVO-0017,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-LENOVO-0018,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0019,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0020,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0021,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0022,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0023,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0024,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0025,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0026,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0027,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-HP-0028,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0029,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0030,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0031,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0032,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-HP-0033,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-HP-0034,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0035,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0036,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0037,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0038,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0039,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0040,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0041,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0042,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0043,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0044,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0045,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0046,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0047,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0048,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0049,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0050,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0051,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0052,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0053,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-HP-0054,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0055,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0056,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0057,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0058,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0059,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0060,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0061,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0062,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0063,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-LENOVO-0064,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0065,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0066,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0067,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-LENOVO-0068,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0069,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0070,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0071,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0072,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0073,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0074,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0075,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0076,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0077,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0078,FW-DELL-A8332BCBA5,HAS_FIRMWARE
